unique_id,ds,category,model_used,forecast_qty,forecast_lower_80,forecast_upper_80,backtest_mape,backtest_mae
123,2026-01-01,smooth,AutoARIMA,305.8434487200681,293.66120375002873,318.0256936901075,2.659639581590649,7.185185185185186
123,2026-02-01,smooth,AutoARIMA,336.23303016175674,324.05078519171735,348.41527513179614,2.659639581590649,7.185185185185186
123,2026-03-01,smooth,AutoARIMA,359.4491315700561,347.26688660001673,371.6313765400955,2.659639581590649,7.185185185185186
123,2026-04-01,smooth,AutoARIMA,364.0595501283675,351.8773051583281,376.2417950984069,2.659639581590649,7.185185185185186
123,2026-05-01,smooth,AutoARIMA,369.8481844283915,357.6659394583521,382.0304293984309,2.659639581590649,7.185185185185186
123,2026-06-01,smooth,AutoARIMA,355.6604972700322,343.4782522999928,367.8427422400716,2.659639581590649,7.185185185185186
123,2026-07-01,smooth,AutoARIMA,359.0595501283675,346.8773051583281,371.2417950984069,2.659639581590649,7.185185185185186
123,2026-08-01,smooth,AutoARIMA,325.4443958617328,313.2621508916934,337.6266408317722,2.659639581590649,7.185185185185186
123,2026-09-01,smooth,AutoARIMA,315.4443958617328,303.2621508916934,327.6266408317722,2.659639581590649,7.185185185185186
123,2026-10-01,smooth,AutoARIMA,311.64629014506215,299.46404517502276,323.82853511510154,2.659639581590649,7.185185185185186
123,2026-11-01,smooth,AutoARIMA,339.24250157840345,327.06025660836406,351.42474654844284,2.659639581590649,7.185185185185186
123,2026-12-01,smooth,AutoARIMA,357.0595501283675,344.8773051583281,369.2417950984069,2.659639581590649,7.185185185185186
123,2027-01-01,smooth,AutoARIMA,375.1578939508512,360.94513721631563,389.37065068538675,2.659639581590649,7.185185185185186
123,2027-02-01,smooth,AutoARIMA,403.7958003713382,389.58304363680264,418.00855710587376,2.659639581590649,7.185185185185186
123,2027-03-01,smooth,AutoARIMA,429.7190359033128,415.5062791687772,443.93179263784833,2.659639581590649,7.185185185185186
123,2027-04-01,smooth,AutoARIMA,436.0811294828257,421.86837274829014,450.29388621736126,2.659639581590649,7.185185185185186
123,2027-05-01,smooth,AutoARIMA,439.9588455779025,425.7460888433669,454.17160231243804,2.659639581590649,7.185185185185186
123,2027-06-01,smooth,AutoARIMA,427.841319808236,413.62856307370043,442.05407654277155,2.659639581590649,7.185185185185186
135,2026-01-01,intermittent,AutoETS,51.177941774866426,0.0,176.8707672755644,54.25665470307158,403.13866494666644
135,2026-02-01,intermittent,AutoETS,51.177941774866426,0.0,177.43702101144586,54.25665470307158,403.13866494666644
135,2026-03-01,intermittent,AutoETS,51.177941774866426,0.0,178.0007464946359,54.25665470307158,403.13866494666644
135,2026-04-01,intermittent,AutoETS,51.177941774866426,0.0,178.56197729073762,54.25665470307158,403.13866494666644
135,2026-05-01,intermittent,AutoETS,51.177941774866426,0.0,179.1207462291564,54.25665470307158,403.13866494666644
135,2026-06-01,intermittent,AutoETS,51.177941774866426,0.0,179.67708542550952,54.25665470307158,403.13866494666644
135,2026-07-01,intermittent,AutoETS,51.177941774866426,0.0,180.23102630316646,54.25665470307158,403.13866494666644
135,2026-08-01,intermittent,AutoETS,51.177941774866426,0.0,180.78259961395992,54.25665470307158,403.13866494666644
135,2026-09-01,intermittent,AutoETS,51.177941774866426,0.0,181.3318354581076,54.25665470307158,403.13866494666644
135,2026-10-01,intermittent,AutoETS,51.177941774866426,0.0,181.87876330338008,54.25665470307158,403.13866494666644
135,2026-11-01,intermittent,AutoETS,51.177941774866426,0.0,182.42341200355025,54.25665470307158,403.13866494666644
135,2026-12-01,intermittent,AutoETS,51.177941774866426,0.0,182.96580981615568,54.25665470307158,403.13866494666644
135,2027-01-01,intermittent,AutoETS,51.177941774866426,0.0,183.50598441960676,54.25665470307158,403.13866494666644
